2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Администрирование серверов Linux,Администрирование сетевого оборудования,Linux,Linux,Linux,Linux,Linux,Linux,Настройка ПК,Настройка ПК
Администрирование серверов Windows,Linux,Администрирование серверов Windows,Администрирование серверов Windows,Администрирование серверов Windows,Администрирование серверов Windows,Настройка сетевых подключений,Настройка сетевых подключений,Настройка сетевых подключений,Администрирование сетевого оборудования
Linux,Администрирование серверов Windows,Администрирование серверов Linux,Администрирование сетевого оборудования,Администрирование сетевого оборудования,Настройка сетевых подключений,Настройка ПК,Настройка ПК,Linux,Настройка сетевых подключений
Администрирование сетевого оборудования,Администрирование серверов Linux,Администрирование сетевого оборудования,Администрирование серверов Linux,Настройка сетевых подключений,Администрирование сетевого оборудования,Администрирование серверов Windows,Настройка ПО,Администрирование сетевого оборудования,Настройка ПО
TCP/IP,Настройка ПК,Active Directory,Настройка ПК,Администрирование серверов Linux,Windows 7,Администрирование сетевого оборудования,Администрирование сетевого оборудования,Настройка ПО,Linux
Active Directory,Настройка сетевых подключений,Настройка сетевых подключений,Настройка сетевых подключений,Настройка ПК,Active Directory,Windows 7,Администрирование серверов Windows,Администрирование серверов Windows,Администрирование серверов Windows
Cisco,Настройка ПО,Настройка ПК,Active Directory,Active Directory,Настройка ПК,Настройка ПО,Active Directory,Ремонт ПК,Офисная техника
Настройка ПО,Active Directory,MySQL,Настройка ПО,TCP/IP,TCP/IP,Active Directory,Ремонт ПК,Active Directory,Техническая поддержка
Настройка ПК,MySQL,Настройка ПО,TCP/IP,Настройка ПО,Администрирование серверов Linux,TCP/IP,Администрирование,Офисная техника,Ремонт ПК
Настройка сетевых подключений,TCP/IP,TCP/IP,DHCP,Windows 7,Настройка ПО,Ремонт ПК,Windows 7,Техническая поддержка,Техническое обслуживание
MySQL,Nginx,Настройка DNS,Настройка DNS,Настройка DNS,Ремонт ПК,Администрирование серверов Linux,TCP/IP,Администрирование,Active Directory
Настройка серверов,Настройка DNS,DHCP,Настройка серверов,DHCP,Windows Server 2003,Администрирование,Сборка ПК,Техническое обслуживание,Администрирование серверов
Hyper-V,Администрирование серверов,Nginx,MySQL,Ремонт ПК,Настройка DNS,DHCP,Администрирование серверов Linux,Информационные технологии,Администрирование серверов Linux
VPN,Настройка серверов,Настройка серверов,Ремонт ПК,VMware,DHCP,Настройка DNS,DHCP,TCP/IP,Информационные технологии
Nginx,VMware,PostgreSQL,VMware,MySQL,Администрирование,Сборка ПК,Офисная техника,Сборка ПК,Администрирование
Настройка DNS,Ремонт ПК,VMware,Nginx,MS SQL,VMware,VMware,Техническая поддержка,Администрирование серверов Linux,Настройка серверов
Windows 7,Офисная техника,Администрирование серверов,Администрирование серверов,Настройка серверов,Информационные технологии,Windows Server 2003,Информационные технологии,Windows 7,Сборка ПК
Bash,Windows 7,Ремонт ПК,Windows 7,Bash,MS SQL,Техническая поддержка,VMware,Системы видеонаблюдения,Системы видеонаблюдения
Администрирование серверов,DHCP,Zabbix,MS SQL,Nginx,Bash,Информационные технологии,Техническое обслуживание,DHCP,TCP/IP
VMware,VPN,Windows 7,Bash,Windows Server 2003,Техническая поддержка,Офисная техника,Настройка DNS,Работа с оргтехникой,DHCP
