area_name,count,average,perc
Москва,2339355,97795.50773239639,33.82869889753108
Санкт-Петербург,699079,82045.37058491878,10.109168123943196
Новосибирск,164573,77178.96532985571,2.3798399403525257
Киев,140524,75697.88108813443,2.032074688910686
Екатеринбург,153806,72379.08467969518,2.224141638457466
Минск,242952,70929.55424559252,3.513254745240877
Казань,137692,66403.5288411104,1.9911220009784107
Краснодар,103149,64866.376453465215,1.4916062173468472
Нижний Новгород,143200,62455.78781572877,2.070771508439912
Самара,90915,61073.2566415237,1.3146940760461916
Ростов-на-Дону,92587,57350.44488610076,1.3388723579045123
Пермь,69543,56681.76869127837,1.0056401048284693
Воронеж,112049,55083.514826022,1.6203064018797748
Алматы,139700,52992.30764201979,2.0201590763202217
