2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
JavaScript,JavaScript,JavaScript,JavaScript,JavaScript,SQL,Работа в команде,Работа в команде,SQL,SQL
ООП,HTML,HTML,HTML,SQL,Git,SQL,SQL,Работа в команде,Linux
jQuery,PHP,PHP,Git,Git,Английский язык,Английский язык,Английский язык,Linux,Python
HTML5,Git,CSS,CSS,HTML,JavaScript,Грамотная речь,Git,Git,Git
HTML,Ведение переговоров,Git,PHP,Работа в команде,Работа в команде,Git,Linux,Python,PostgreSQL
C#,CSS,MySQL,SQL,Английский язык,Пользователь ПК,Пользователь ПК,Пользователь ПК,Грамотная речь,Аналитическое мышление
MVC,jQuery,Ведение переговоров,MySQL,CSS,Linux,JavaScript,Грамотная речь,PostgreSQL,Техническая поддержка
.NET Framework,MySQL,SQL,Ведение переговоров,Пользователь ПК,Грамотная речь,Linux,Python,Пользователь ПК,JavaScript
CSS,Работа в команде,jQuery,Управление проектами,Linux,Java,Управление проектами,JavaScript,Английский язык,Работа с большим объемом информации
ASP.NET,HTML5,HTML5,Работа в команде,Ведение переговоров,HTML,Python,Управление проектами,Управление проектами,Настройка ПК
PHP,Пользователь ПК,Управление проектами,Java,Управление проектами,Python,Java,PostgreSQL,JavaScript,Английский язык
Git,SQL,Java,Linux,PHP,Управление проектами,HTML,Adobe Photoshop,Аналитическое мышление,Java
Ведение переговоров,Java,Работа в команде,Пользователь ПК,Java,CSS,PostgreSQL,Java,Adobe Photoshop,Adobe Photoshop
MySQL,Управление проектами,Linux,HTML5,MySQL,Активные продажи,Ведение переговоров,Техническое обслуживание,1С программирование,Работа в команде
Java,ООП,ООП,jQuery,Грамотная речь,MS SQL,Adobe Photoshop,MS PowerPoint,Работа с большим объемом информации,1С программирование
SQL,Грамотная речь,Пользователь ПК,Английский язык,Python,MySQL,CSS,1С программирование,Java,Грамотная речь
Управление проектами,CSS3,Английский язык,Активные продажи,Активные продажи,PostgreSQL,Грамотность,HTML,Техническая поддержка,Docker
Поиск и привлечение клиентов,Поиск и привлечение клиентов,Активные продажи,Грамотная речь,ООП,Ведение переговоров,Деловое общение,Аналитическое мышление,Деловое общение,Пользователь ПК
CSS3,Навыки продаж,CSS3,ООП,Деловая переписка,PHP,Активные продажи,Грамотность,PHP,Деловая коммуникация
Английский язык,Активные продажи,B2B Продажи,Деловая переписка,B2B Продажи,ООП,MS SQL,PHP,Docker,Информационные технологии
