date,USD,EUR,KZT,UAH,BYR,AZN,UZS,KGS,GEL
2003-01,31.7844,33.2719,0.203925,5.9419,0.0164252,,,,
2003-02,31.8345,34.429,0.205576,5.94182,0.0162562,,,,
2003-03,31.5729,33.9409,0.208194,5.89454,0.0159887,,,,
2003-04,31.3801,33.9815,0.206202,5.85471,0.0156963,,,,
2003-05,31.1021,34.5513,0.204875,5.77205,0.015331,,,,
2003-06,30.709,36.4669,0.204125,5.63882,0.0150078,,,,
2003-07,30.3809,34.7223,0.205946,5.64921,0.0147152,,,,
2003-08,30.2791,34.3395,0.206358,5.64751,0.0145704,,,,
2003-09,30.5036,33.2001,0.206829,5.67055,0.0145172,,,,
2003-10,30.6142,35.6043,0.205656,5.67897,0.0144789,,,,
2003-11,29.9451,34.7992,0.202923,5.55465,0.0140383,,,,
2003-12,29.7387,35.5021,0.202809,5.51687,0.0138432,,,,
2004-01,29.4545,37.0979,0.20567,5.474,0.0135751,,,,
2004-02,28.4937,35.3635,0.204323,5.27896,0.0131915,,,,
2004-03,28.5156,35.5076,0.205098,5.2939,0.0132329,,,,
2004-04,28.5151,34.9082,0.205346,5.2941,0.013261,,,,
2004-05,28.9612,34.6289,0.209668,5.40129,0.0134213,,,,
2004-06,28.9993,35.3907,0.21172,5.43363,0.013446,,,,
2004-07,29.0471,35.0889,0.213679,5.443,0.0134428,,,,
2004-08,29.1019,35.0532,0.213478,5.455,0.0134552,,,,
2004-09,29.2591,35.3713,0.214521,5.47267,0.0135205,,,,
2004-10,29.2224,36.0312,0.217488,5.43157,0.0134572,,,,
2004-11,28.7655,36.6472,0.217885,5.34595,0.0132084,,,,
2004-12,28.1496,37.3264,0.216452,5.25728,0.0128957,,,,
2005-01,27.7487,37.8409,0.213438,5.12337,0.0127492,,,,
2005-02,28.1136,36.5899,0.216228,5.28382,0.0129161,,,,
2005-03,27.7007,36.72,0.212837,5.22822,0.0128099,,,,
2005-04,27.8548,36.0274,0.210235,5.32108,0.0129155,,,,
2005-05,27.7726,36.0072,0.211391,5.46974,0.0128987,,,,
2005-06,28.1946,34.9134,0.21324,5.55559,0.0131016,,,,
2005-07,28.6282,34.6258,0.21209,5.67558,0.0133038,,,,
2005-08,28.6341,34.716,0.210728,5.6852,0.0133166,,,,
2005-09,28.5566,34.879,0.211038,5.65612,0.0132644,,,,
2005-10,28.5348,34.3074,0.213347,5.59429,0.0132558,,,,
2005-11,28.503,34.3946,0.212574,5.54059,0.0132476,,,,
2005-12,28.7792,33.9393,0.214631,5.66375,0.0133818,,,,
2006-01,28.7825,34.185,0.215337,5.67232,0.0133634,,,,
2006-02,28.1305,34.0492,0.213002,5.49284,0.0130756,,,,
2006-03,28.1211,33.3291,0.215807,5.50315,0.0130665,,,,
2006-04,27.6996,33.6273,0.215729,5.42258,0.0128746,,,,
2006-05,27.2739,34.1906,0.21917,5.37279,0.0126848,,,,
2006-06,26.9355,34.7064,0.222155,5.38301,0.0125603,,,,
2006-07,26.9423,34.2383,0.227707,5.34824,0.0125715,,,,
2006-08,26.8197,34.2112,0.22661,5.32,0.0125158,,,,
2006-09,26.7295,34.318,0.213213,5.29098,0.012478,,,,
2006-10,26.7799,33.9783,0.210492,5.29896,0.0125052,,,,
2006-11,26.7811,33.9852,0.209511,5.28414,0.0125036,,,,
2006-12,26.3081,34.6899,0.205628,5.20303,0.0122874,,,,
2007-01,26.3311,34.6965,0.207609,5.21987,0.0122906,,,,
2007-02,26.5484,34.3802,0.210323,5.23823,0.0123467,,,,
2007-03,26.1481,34.539,0.210008,5.16567,0.0121718,,,,
2007-04,26.0113,34.6861,0.210061,5.13966,0.0121237,,,,
2007-05,25.6851,35.0653,0.213842,5.08233,0.0119479,,,,
2007-06,25.9043,34.8128,0.211337,5.13709,0.0120492,,,,
2007-07,25.8162,34.715,0.211011,5.11465,0.0120187,,,,
2007-08,25.5448,35.0015,0.206631,5.07778,0.0118917,,,,
2007-09,25.6262,35.0233,0.202803,5.09528,0.0119143,,,,
2007-10,24.9493,35.3457,0.206255,4.95517,0.011601,,,,
2007-11,24.6724,35.6492,0.204098,4.87713,0.0114575,,,,
2007-12,24.4171,36.0055,0.20202,4.81239,0.0113252,,,,
2008-01,24.5462,35.9332,0.203492,4.82357,0.0113897,,,,
2008-02,24.4262,36.29,0.203185,4.79001,0.0113498,,,,
2008-03,24.0023,36.5099,0.198601,4.70975,0.0111762,,,,
2008-04,23.5027,37.0873,0.194725,4.66203,0.0109442,,,,
2008-05,23.6588,36.8959,0.196499,4.73583,0.0110478,,,,
2008-06,23.7384,36.7827,0.196848,4.93501,0.0111144,,,,
2008-07,23.4068,36.971,0.193826,4.96359,0.0110143,,,,
2008-08,23.4186,36.5752,0.19483,5.01576,0.0110752,,,,
2008-09,24.5769,36.2264,0.20551,5.28535,0.0116368,,,,
2008-10,25.3718,36.4999,0.211555,5.00529,0.0120046,,,,
2008-11,27.0981,34.4092,0.226138,4.52767,0.0128214,,,,
2008-12,27.606,35.7166,0.229333,3.74319,0.012888,,,,
2009-01,29.3916,41.4275,0.242475,3.82952,0.0133537,,,,
2009-02,35.4146,45.6636,0.290212,4.5564,0.0130057,,,,
2009-03,35.7205,45.3543,0.237054,4.20241,0.0125291,,,,
2009-04,33.9032,44.8946,0.224651,4.21158,0.0119462,,,,
2009-05,32.974,43.9939,0.21861,4.06084,0.0116681,,,,
2009-06,30.9843,43.378,0.205889,4.05288,0.0111214,,,,
2009-07,31.0385,43.8512,0.206222,4.05732,0.0109368,,,,
2009-08,31.1533,43.9978,0.206683,3.87961,0.010931,,,,
2009-09,31.8397,45.4321,0.211097,3.76578,0.0112667,,,,
2009-10,30.0087,43.8877,0.198812,3.60898,0.0108531,,,,
2009-11,29.0488,43.0678,0.192676,3.53392,0.0105863,,,,
2009-12,29.0687,43.7658,0.195486,3.62679,0.0104451,,,,
2010-01,30.1851,43.4605,0.203239,3.7497,0.0105395,,,,
2010-02,30.4312,42.4637,0.205686,3.78969,0.0105408,37.798,0.0199676,0.688099,
2010-03,29.9484,40.8047,0.203281,3.73328,0.0102178,37.1984,0.0194805,0.669238,
2010-04,29.4956,39.5713,0.200691,3.6999,0.0099012,36.6359,0.0189841,0.651908,
2010-05,29.1537,38.6986,0.199042,3.65885,0.0098426,36.2879,0.0186114,0.644352,
2010-06,30.74,37.8133,0.209579,3.87886,0.0102433,38.2529,0.0194696,0.668261,
2010-07,31.2554,38.2097,0.211808,3.94569,0.0103529,38.8749,0.0195959,0.679465,
2010-08,30.1869,39.4694,0.204352,3.82316,0.0101434,37.5646,0.0188016,0.647093,
2010-09,30.8669,39.0127,0.209487,3.91364,0.0102446,38.4108,0.0191362,0.66167,
2010-10,30.5126,41.4392,0.206746,3.84386,0.0101337,38.003,0.0188326,0.654075,
2010-11,30.7821,42.7256,0.20865,3.87172,0.0102198,38.4296,0.0189277,0.659367,
2010-12,31.3335,41.0814,0.212229,3.93316,0.0103343,39.1767,0.0191771,0.668808,
2011-01,30.3505,40.4876,0.205829,3.80929,0.0101135,37.9476,0.0185064,0.644395,
2011-02,29.8018,40.5811,0.20272,3.75101,0.0098944,37.3972,0.0180525,0.630459,
2011-03,28.9028,39.8136,0.197992,3.6413,0.009561,36.3374,0.017364,0.608756,
2011-04,28.5162,40.3875,0.195672,3.57682,0.00936185,35.8514,0.0169969,0.603584,
2011-05,27.5022,40.8078,0.188863,3.45288,0.00912482,34.7425,0.0162584,0.587183,
2011-06,27.9805,40.2444,0.192405,3.50655,0.00562083,35.4453,0.0164419,0.612289,
2011-07,27.8726,40.4153,0.191105,3.48909,0.00561382,35.4298,0.0162898,0.616559,
2011-08,27.6796,39.5182,0.189139,3.46125,0.00559071,35.1889,0.0160467,0.619196,
2011-09,28.9278,41.7631,0.197338,3.62005,0.00567546,36.8507,0.0166814,0.647118,
2011-10,32.11,43.4191,0.216864,4.01561,0.00569326,40.9828,0.0183843,0.713543,
2011-11,30.1245,42.1833,0.20384,3.76321,0.00354406,38.3459,0.0171006,0.66066,
2011-12,31.4001,41.7559,0.212572,3.91498,0.00365117,39.9645,0.0176383,0.670501,
2012-01,32.1961,41.6714,0.216874,4.00549,0.00385582,40.9776,0.0179365,0.695628,
2012-02,30.3131,39.9678,0.204039,3.7731,0.00362164,38.5859,0.0167645,0.648052,
2012-03,29.0253,39.1029,0.196475,3.63066,0.00359669,36.9702,0.0158791,0.624334,
2012-04,29.3282,39.1707,0.198371,3.65165,0.00363423,37.337,0.015909,0.626113,
2012-05,29.3627,38.9203,0.198712,3.65476,0.00364754,37.3952,0.0158191,0.626312,
2012-06,32.9173,40.8076,0.222347,4.07367,0.00394219,41.9489,0.0175893,0.701335,
2012-07,32.8169,41.323,0.219621,4.06225,0.00393488,41.8263,0.0174118,0.695761,
2012-08,32.2058,39.5101,0.21467,3.97735,0.00390373,41.0474,0.0169449,0.683069,
2012-09,32.5669,40.7249,0.21762,4.01095,0.0038724,41.5235,0.0169466,0.706834,
2012-10,30.9169,39.9786,0.205982,3.79442,0.00366314,39.4097,0.0159481,0.658218,
2012-11,31.3743,40.6548,0.208052,3.83643,0.00367811,40.008,0.0160383,0.665621,
2012-12,30.811,40.0759,0.204697,3.76212,0.00359103,39.2947,0.0156446,0.651977,
2013-01,30.3727,40.2286,0.202107,3.759,0.00353376,38.7407,0.0153011,0.640753,
2013-02,30.0161,40.7138,0.19898,3.69429,0.00347811,38.3005,0.0150193,0.628352,
2013-03,30.5124,40.1024,0.202936,3.74477,0.00354178,38.9139,0.0153522,0.641453,
2013-04,31.0834,39.8023,0.206,3.81626,0.00358104,39.6472,0.0152109,0.64802,
2013-05,31.0433,40.6264,0.205313,3.82189,0.00359714,39.6061,0.0150294,0.64443,
2013-06,31.7979,41.4486,0.209922,3.90446,0.00365914,40.5689,0.0152838,0.659297,
2013-07,32.709,42.718,0.215673,4.01067,0.00372116,41.7366,0.015598,0.672459,
2013-08,33.033,43.7786,0.215164,4.0676,0.00371366,42.1501,0.0156517,0.675874,
2013-09,33.2474,44.0129,0.216899,4.09325,0.00368801,42.4182,0.0156311,0.682548,
2013-10,32.4839,43.8143,0.211209,3.9658,0.0035677,41.4494,0.0152513,0.668122,
2013-11,32.0758,43.9406,0.208014,3.91765,0.00346578,40.9443,0.0147306,0.66132,
2013-12,33.1916,45.187,0.215663,4.0443,0.0035499,42.3741,0.0151352,0.678072,
2014-01,32.6587,45.0559,0.21176,3.96343,0.00342334,41.6884,0.0146452,0.663161,
2014-02,35.18,47.6408,0.226231,4.1856,0.00364182,44.924,0.0158468,0.697797,
2014-03,36.1847,49.5839,0.196347,3.38175,0.0036942,46.1952,0.0161107,0.690075,
2014-04,35.6053,48.968,0.195537,3.16492,0.00360013,45.4613,0.0156852,0.65344,
2014-05,35.7227,49.3188,0.196219,3.11989,0.00357585,45.6112,0.0156941,0.662003,
2014-06,34.7352,47.2677,0.189303,2.94366,0.00344595,44.3447,0.0151257,0.664528,
2014-07,33.8434,46.1827,0.184418,2.88029,0.00331798,43.2117,0.0147374,0.649897,
2014-08,35.4438,47.4699,0.19364,2.89692,0.00343448,45.2609,0.015224,0.684881,
2014-09,36.9316,48.6315,0.20291,2.73567,0.0035409,47.0466,0.015888,0.697578,
2014-10,39.3836,49.9817,0.216471,3.0412,0.00371193,50.2855,0.0166358,0.722367,
2014-11,41.9627,52.7219,0.232011,3.22728,0.00391078,53.5375,0.017602,0.731715,
2014-12,49.322,61.4108,0.272542,3.2831,0.00453327,62.9911,0.0205415,0.8566,
2015-01,56.2376,68.3681,0.308143,3.55525,0.00387846,71.6951,0.0232157,0.955017,
2015-02,68.9291,78.1105,0.373711,4.32993,0.00441005,88.0208,0.0282942,1.15247,
2015-03,61.2718,68.6857,0.330663,2.07701,0.00409845,58.4766,0.0248064,0.999312,
2015-04,57.65,62.0487,0.310447,2.45842,0.00392177,54.9833,0.0231619,0.902564,
2015-05,51.1388,57.1578,0.275236,2.40653,0.00358366,48.764,0.0205956,0.851313,
2015-06,52.9716,58.0145,0.284855,2.5105,0.00356112,50.478,0.0208961,0.910991,
2015-07,55.8413,62.3803,0.299883,2.65911,0.00365813,53.2684,0.0218557,0.899523,
2015-08,60.3458,66.0002,0.321947,2.85323,0.0039649,57.412,0.0234353,0.96092,
2015-09,66.7152,74.8478,0.27856,3.06737,0.00383862,63.6595,0.0257389,1.06591,
2015-10,65.7364,73.776,0.242588,3.08549,0.00371917,62.7256,0.0250902,0.954973,
2015-11,64.3742,70.7537,0.229859,2.79281,0.00369012,61.3497,0.0240831,0.930263,
2015-12,66.737,70.6478,0.216996,2.80998,0.0036957,63.4865,0.0242642,0.91383,
2016-01,72.9299,79.6395,0.213821,3.0352,0.00390417,46.6871,0.0264911,0.949237,
2016-02,75.1723,81.9077,0.206961,2.95954,0.00360971,46.9592,0.0267422,0.990543,
2016-03,75.8994,83.1023,0.21701,2.80072,0.00353185,48.4825,0.0266782,1.01036,
2016-04,67.8552,76.9207,0.197414,2.58496,0.00336834,44.0018,0.0238088,0.943678,
2016-05,64.3334,73.3015,0.196618,2.55291,0.00334721,42.7266,0.0221916,0.945107,
2016-06,65.9962,73.4406,0.19654,2.62358,0.00333483,44.3195,0.0222584,0.966289,
2016-07,64.1755,71.2926,0.189448,2.5846,,41.3769,0.0218062,0.950945,
2016-08,67.0512,74.3799,0.190273,2.70368,,41.8808,0.0227292,0.992215,
2016-09,65.2535,72.6859,0.191699,2.50013,,39.9813,0.0218239,0.947089,
2016-10,63.396,70.9338,0.188946,2.44348,,38.8147,0.0210618,0.933192,
2016-11,63.2174,69.2863,0.188664,2.47911,,38.1149,0.0203784,0.920865,
2016-12,65.2382,69.3417,0.19092,2.54837,,37.2088,0.0207105,0.943342,
2017-01,60.6569,63.8111,0.181637,2.23826,,33.6665,0.0189257,0.874012,
2017-02,60.0851,64.285,0.185743,2.21634,,31.063,0.0184593,0.869113,
2017-03,57.9627,61.3883,0.185377,2.13333,,32.8531,0.0173385,0.836982,
2017-04,55.9606,59.8107,0.178432,2.0707,,32.6301,0.0155749,0.81567,
2017-05,56.9838,62.044,0.181226,2.14669,,33.4707,0.0153802,0.847437,
2017-06,56.6876,63.4107,0.181531,2.15481,,33.3065,0.0147397,0.832417,
2017-07,59.3862,67.8072,0.183719,2.28058,,34.89,0.0150079,0.858331,
